Player,Pos,Year,Salary,PTS,TRB,AST,STL,BLK,FGA,FG,FTA,FT,TOV,Efficiency,Salary_per_Efficiency,Team_sal,Team_stats,G,MP
Terry Rozier,PG,2017.0,24924126,410.0,227.0,131.0,45.0,11.0,411.0,151.0,66.0,51.0,47.0,502.0,49649.653386454185,MIA,BOS,74.0,1263.0
Draymond Green,PF,2017.0,24107143,776.0,599.0,533.0,154.0,106.0,650.0,272.0,213.0,151.0,184.0,1544.0,15613.434585492229,GSW,GSW,76.0,2471.0
DeMar DeRozan,SG,2017.0,23400000,2020.0,386.0,290.0,78.0,13.0,1545.0,721.0,647.0,545.0,180.0,1681.0,13920.285544318858,SAC,TOR,74.0,2620.0
Brook Lopez,C,2017.0,23000000,1539.0,403.0,176.0,38.0,124.0,1172.0,555.0,364.0,295.0,184.0,1410.0,16312.056737588653,MIL,BRK,75.0,2222.0
Aaron Gordon,SF,2017.0,22841455,1019.0,405.0,150.0,64.0,40.0,865.0,393.0,217.0,156.0,89.0,1056.0,21630.165719696968,DEN,ORL,80.0,2298.0
Kentavious Caldwell-Pope,SG,2017.0,22757000,1047.0,248.0,193.0,89.0,12.0,928.0,370.0,185.0,154.0,86.0,914.0,24898.24945295405,ORL,DET,76.0,2529.0
Malcolm Brogdon,SG,2017.0,22500000,767.0,213.0,317.0,84.0,12.0,635.0,290.0,126.0,109.0,113.0,918.0,24509.803921568626,WAS,MIL,75.0,1982.0
Clint Capela,C,2017.0,22265280,818.0,526.0,64.0,34.0,80.0,563.0,362.0,177.0,94.0,87.0,1151.0,19344.291920069503,ATL,HOU,65.0,1551.0
Marcus Smart,SG,2017.0,20210284,835.0,306.0,364.0,125.0,34.0,749.0,269.0,250.0,203.0,159.0,978.0,20664.912065439672,WAS,BOS,79.0,2399.0
Nikola Vucevic,C,2017.0,20000000,1096.0,779.0,208.0,77.0,74.0,1031.0,483.0,160.0,107.0,117.0,1516.0,13192.612137203167,CHI,ORL,75.0,2163.0
Myles Turner,C,2017.0,19928500,1173.0,587.0,106.0,74.0,173.0,869.0,444.0,303.0,245.0,105.0,1525.0,13067.868852459016,IND,IND,81.0,2541.0
Jakob Poeltl,C,2017.0,19500000,165.0,165.0,12.0,17.0,20.0,115.0,67.0,57.0,31.0,29.0,276.0,70652.17391304347,TOR,TOR,54.0,626.0
Norman Powell,SG,2017.0,19241379,636.0,168.0,82.0,51.0,14.0,506.0,227.0,159.0,126.0,70.0,569.0,33816.13181019332,LAC,TOR,76.0,1368.0
D'Angelo Russell,PG,2017.0,18692307,984.0,222.0,303.0,87.0,16.0,867.0,351.0,188.0,147.0,176.0,879.0,21265.423208191125,BRK,LAL,63.0,1811.0
Jusuf Nurkic,C,2017.0,18125000,662.0,467.0,123.0,50.0,74.0,534.0,271.0,210.0,120.0,143.0,880.0,20596.590909090908,CHO,TOT,65.0,1391.0
Jusuf Nurkic,C,2017.0,18125000,358.0,260.0,60.0,25.0,36.0,298.0,151.0,113.0,56.0,81.0,454.0,39922.907488986784,CHO,DEN,45.0,807.0
Jusuf Nurkic,C,2017.0,18125000,304.0,207.0,63.0,25.0,38.0,236.0,120.0,97.0,64.0,62.0,426.0,42546.94835680751,CHO,POR,20.0,584.0
Harrison Barnes,PF,2017.0,18000000,1518.0,397.0,117.0,66.0,15.0,1280.0,599.0,281.0,242.0,102.0,1291.0,13942.680092951201,SAS,DAL,79.0,2803.0
Caris LeVert,SF,2017.0,16615384,468.0,188.0,110.0,49.0,8.0,380.0,171.0,93.0,67.0,59.0,529.0,31409.043478260868,ATL,BRK,57.0,1237.0
Tim Hardaway Jr.,SG,2017.0,16193183,1143.0,224.0,182.0,55.0,15.0,912.0,415.0,214.0,164.0,106.0,966.0,16763.12939958592,DET,ATL,79.0,2154.0
Klay Thompson,SG,2017.0,15873016,1742.0,285.0,160.0,66.0,40.0,1376.0,644.0,218.0,186.0,128.0,1401.0,11329.775874375446,DAL,GSW,78.0,2649.0
Dorian Finney-Smith,PF,2017.0,14924167,350.0,221.0,67.0,52.0,25.0,333.0,124.0,61.0,46.0,45.0,446.0,33462.257847533634,LAL,DAL,81.0,1642.0
Jordan Clarkson,SG,2017.0,14092577,1205.0,246.0,213.0,88.0,8.0,1071.0,477.0,168.0,134.0,164.0,968.0,14558.447314049587,UTA,LAL,82.0,2397.0
Dennis Schroder,PG,2017.0,13025250,1414.0,248.0,499.0,74.0,16.0,1215.0,548.0,255.0,218.0,258.0,1289.0,10104.926299456944,DET,ATL,79.0,2485.0
Kelly Olynyk,C,2017.0,12804878,678.0,360.0,148.0,43.0,29.0,508.0,260.0,123.0,90.0,96.0,881.0,14534.481271282633,NOP,BOS,75.0,1538.0
Richaun Holmes,C,2017.0,12648321,559.0,311.0,58.0,42.0,55.0,412.0,230.0,103.0,72.0,55.0,757.0,16708.482166446498,WAS,PHI,57.0,1193.0
Steven Adams,C,2017.0,12600000,905.0,615.0,86.0,88.0,78.0,655.0,374.0,257.0,157.0,146.0,1245.0,10120.481927710844,HOU,OKC,80.0,2389.0
Bobby Portis,PF,2017.0,12578286,437.0,296.0,35.0,16.0,11.0,375.0,183.0,59.0,39.0,37.0,546.0,23037.153846153848,MIL,CHI,64.0,1000.0
Ivica Zubac,C,2017.0,11743210,284.0,159.0,30.0,14.0,33.0,238.0,126.0,49.0,32.0,30.0,361.0,32529.6675900277,LAC,LAL,38.0,609.0
P.J. Tucker,SF,2017.0,12025777,540.0,472.0,99.0,116.0,19.0,482.0,199.0,93.0,72.0,66.0,876.0,13728.055936073059,TOR,TOT,81.0,2236.0
P.J. Tucker,SF,2017.0,12025777,401.0,343.0,73.0,85.0,14.0,354.0,147.0,77.0,61.0,52.0,641.0,18760.96255850234,TOR,PHO,57.0,1627.0
P.J. Tucker,SF,2017.0,12025777,139.0,129.0,26.0,31.0,5.0,128.0,52.0,16.0,11.0,14.0,235.0,51173.51914893617,TOR,TOR,24.0,609.0
Larry Nance Jr.,PF,2017.0,11205000,449.0,369.0,96.0,82.0,40.0,361.0,190.0,80.0,59.0,56.0,788.0,14219.543147208122,ATL,LAL,63.0,1442.0
Chris Paul,PG,2017.0,10460000,1104.0,304.0,563.0,118.0,8.0,785.0,374.0,260.0,232.0,147.0,1511.0,6922.567835870284,SAS,LAC,61.0,1921.0
Mike Conley,PG,2017.0,9975962,1415.0,242.0,433.0,92.0,19.0,1009.0,464.0,368.0,316.0,156.0,1448.0,6889.476519337017,MIN,MEM,69.0,2292.0
