Player,Salary
Peyton Watson,2413560
Kevin Porter Jr.,3366937
Charlie Brown Jr.,2237692
Xavier Tillman Sr.,2237691
Anthony Gill,2237691
James Wiseman,2237691
Garrison Mathews,2230253
Jeremiah Robinson-Earl,2196970
Lindy Waters III,2196970
Dalano Banton,2196970
Sam Merrill,2164993
Duane Washington Jr.,2162607
Luka Garza,2162606
Keon Johnson,2162606
Neemias Queta,2162606
Vit Krejci,2162606
Vince Williams Jr.,2120693
Colby Jones,2120693
Keon Ellis,2120693
A.J. Green,2120693
Sam Hauser,2092344
Jericho Sims,2092344
Jay Huff,2088033
Tyler Kolek,2087519
Scotty Pippen Jr.,2087519
Mo Bamba,2207491
Charles Bassey,2087519
Jordan McLaughlin,2087519
Sandro Mamukelashvili,2087519
Bol Bol,2087519
Monte Morris,2087519
Damion Lee,2087519
Guerschon Yabusele,2087519
Daniel Theis,2087519
Gary Trent Jr.,2087519
Taurean Prince,2087519
Thomas Bryant,2087519
Vlatko Cancar,2087519
Talen Horton-Tucker,2087519
Luke Kornet,2087519
Duop Reath,2048780
Andrew Nembhard,2019699
Jaden Hardy,2019699
Jabari Walker,2019699
Caleb Houstan,2019699
Jaylin Williams,2019699
Josh Minott,2019699
Kennedy Chandler,2019699
Jose Alvarado,1988598
Ricky Council IV,1891857
GG Jackson II,1891857
Jalen Pickett,1891857
Hunter Tyson,1891857
Julian Phillips,1891857
Jordan Walsh,1891857
Sidy Cissoko,1891857
Toumani Camara,1891857
Rayan Rupert,1891857
Leonard Miller,1891857
Chris Livingston,1891857
Andre Jackson Jr.,1891857
Trayce Jackson-Davis,1891857
Gui Santos,1891857
Craig Porter Jr.,1891857
Maxwell Lewis,1891857
Jalen Wilson,1891857
Mouhamed Gueye,1891857
Jonathan Mogbo,1862265
Jamal Shead,1862265
Johnny Furphy,1850842
Pacome Dadiet,1808080
Justin Champagnie,1800000
Javonte Green,2328350
Paul Reed,3913234
Karlo Matkovic,1407153
Landry Shamet,1343690
Bobi Klintman,1257153
Tyler Smith,1157153
Oso Ighodaro,1157153
Jaylen Wells,1157153
Bronny James,1157153
Cam Christie,1157153
Adem Bona,1157153
Antonio Reeves,1157153
Pelle Larsson,1157153
Bruno Fernando,1115128
Ariel Hukporti,1064049
PJ Dozier,1051255
Jordan Miller,1050000
Jamison Battle,1000000
Kevin Porter Jr.,3366937
Joshua Primo,1000000
Orlando Robinson,1691610
Moussa Diabate,957763
Lonnie Walker IV,780932
Torrey Craig,3625162
Ben Simmons,40011909
Jared Butler,745726
Markelle Fultz,731831
Keshad Johnson,724883
E.J. Liddell,706898
Tyrese Martin,635853
Jaden Springer,4772772
Matt Ryan,621439
Ryan Rollins,1091887
Javonte Green,2328350
Brandon Boston Jr.,596581
Juwan Morgan,576229
Malik Fitts,555216
Jeenathan Williams,515881
Jaylen Clark,492323
Dominick Barlow,491887
Orlando Robinson,1691610
Ryan Rollins,1091887
Mamadi Diakite,464050
Quinten Post,438920
Pat Spencer,438810
Justin Edwards,425619
Lamar Stevens,623856
Branden Carlson,496519
Tony Bradley,600545
Moses Brown,426632
Jaylen Nowell,446743
Didi Louzada,268032
Kevin Knox,503883
AJ Griffin,250000
Jordan Goodwin,223718
Jaylen Nowell,446743
Isaac Jones,152957
Tony Bradley,600545
Malevy Leons,126356
Jaden Springer,4772772
Orlando Robinson,1691610
Orlando Robinson,1691610
Lamar Stevens,623856
Lamar Stevens,623856
Tony Bradley,600545
Kevin Knox,503883
Kevin Knox,503883
Chuma Okeke,355687
Chuma Okeke,355687
Cole Swider,227947
Jalen McDaniels,4861772
Jared Rhoden,119972
Eugene Omoruyi,119972
Terry Taylor,119972
Daishen Nix,119972
Oshae Brissett,119972
David Roddy,2967212
Mo Bamba,2207491
Moses Brown,426632
Malachi Flynn,119972
Killian Hayes,119972
Kevon Harris,119972
Chuma Okeke,355687
Drew Timme,113055
Cole Swider,227947
Colin Castleton,421081
Colin Castleton,421081
Colin Castleton,421081
Marcus Garrett,107027
Colin Castleton,421081
Javon Freeman-Liberty,100000
A.J. Lawson,100000
Marcus Bagley,126356
Kylor Kelley,73153
Jaylen Sims,73153
Erik Stevenson,66503
Phillip Wheeler,66503
Yuri Collins,66503
Nae'Qwan Tomlin,66503
